,A,B,C,G,R,X6,X8
0,6,860.62,809.73,65.24,573,88.1326,0.2113
1,7,871.58,789.74,64.54,849,84.8057,0.2151
2,6,854.87,789.74,64.54,687,90.5386,0.2127
3,7,823.73,759.75,68.2,475,86.1053,0.2081
4,6,823.44,759.75,68.2,424,87.0283,0.2429
5,6,825.02,749.75,67.44,646,76.935,0.2139
6,10,763.63,579.81,50.44,10334,33.414,0.1819
7,11,792.09,499.83,40.01,31298,69.5827,0.2971
8,9,752.25,529.82,46.89,15586,74.0408,0.1846
9,7,659.78,599.8,80.03,1031,74.6848,0.2467
10,8,635.12,589.8,84.54,454,63.4361,0.2099
11,9,641.38,599.8,86.99,441,57.8231,0.2126
12,8,653.65,589.8,80.03,544,72.6103,0.2434
13,8,673.03,589.8,80.03,512,72.8516,0.2073
14,11,679.54,619.79,80.03,416,84.8558,0.2102
15,9,685.25,609.8,75.97,683,74.5242,0.1737
16,8,689.77,549.82,44.79,10291,51.89,0.2602
17,9,711.65,319.89,40.28,40108,71.6391,0.3038
18,9,771.09,319.89,40.28,57133,79.1522,0.3155
19,9,807.45,329.89,38.47,45238,92.3803,0.2477
20,12,801.73,329.89,38.47,46133,79.3098,0.1782
21,11,780.28,349.88,44.79,16431,82.6304,0.1732
22,9,813.44,439.85,44.79,20412,86.2238,0.1756
23,10,845.85,699.77,62.52,1445,82.7682,0.1144
24,10,808.7,679.77,61.24,2653,52.4689,0.1706
25,10,772.87,389.87,42.57,15487,57.9389,0.1617
26,11,815.04,439.85,42.57,15249,90.3076,0.1534
27,10,811.95,439.85,49.2,3318,83.906,0.1368
28,9,847.46,389.87,40.28,35297,82.1033,0.1903
29,9,837.85,389.87,42.27,19650,88.7684,0.3357
30,9,863.05,379.87,38.23,20844,43.7296,0.316
31,8,799.73,379.87,38.23,19579,52.8781,0.2858
32,7,741.33,659.78,72.31,1599,45.0907,0.142
33,9,762.99,679.77,72.31,937,65.5283,0.1417
34,8,776.77,429.86,43.81,23101,69.3823,0.1392
35,9,788.07,409.86,43.81,23662,67.1963,0.141
36,10,755.03,369.88,41.97,13351,58.1529,0.1472
37,11,745.86,349.88,41.97,37358,67.8034,0.298
38,8,740.54,349.88,43.81,20100,85.8209,0.3554
39,9,730.53,659.78,68.2,1483,65.4754,0.1755
40,10,762.38,669.78,68.2,944,44.0678,0.1381
41,9,730.27,639.79,73.2,813,32.5953,0.2458
42,10,732.83,639.79,70.61,1264,42.6424,0.14
43,9,757.12,649.78,70.61,1294,18.3153,0.1738
44,8,750.8,659.78,72.31,490,46.7347,0.3155
45,7,762.99,659.78,70.61,1101,36.6031,0.1417
46,6,760.02,689.77,70.61,1140,50.9649,0.1422
47,8,743.44,689.77,72.31,1276,34.0125,0.1416
48,9,770.28,679.77,39.49,14494,56.8649,0.1404
49,10,738.22,649.78,39.49,15159,55.43899999999999,0.1737
50,9,747.32,649.78,68.2,1501,29.3138,0.1808
51,9,771.9,649.78,68.2,3185,9.9843,0.1401
52,10,717.71,629.79,71.45,1269,23.3255,0.1429
53,8,714.76,629.79,75.03,1316,26.9757,0.1749
54,9,752.64,509.83,58.84,1852,67.0626,0.2098
55,8,780.3,509.83,58.84,2173,67.1882,0.35600000000000004
56,9,777.58,679.77,69.79,867,47.6355,0.139
57,10,769.74,669.78,68.99,1558,29.7818,0.1444
58,7,762.18,669.78,68.99,1579,28.0557,0.1418
59,7,855.78,689.77,59.43,3148,36.1817,0.2125
60,6,914.86,819.73,59.43,1188,76.0943,0.2116
61,5,864.09,799.73,61.88,1147,84.1325,0.217
