,A,B,C,G,R,X6,X8
0,7,852.75,339.89,63.85,3198,74.2964,0.1777
1,7,862.21,339.89,63.85,3475,65.6978,0.1812
2,8,888.77,849.72,63.85,443,90.5192,0.21100000000000002
3,8,873.65,809.73,63.85,752,97.6064,0.2081
4,8,882.61,809.73,63.18,927,80.7983,0.1827
5,8,910.66,839.72,61.24,831,58.4838,0.2125
6,6,907.76,829.72,61.24,660,81.0606,0.1777
7,7,907.12,829.72,61.24,813,91.3899,0.2134
8,7,923.89,879.71,61.24,634,96.3722,0.2444
9,7,934.36,859.71,60.02,673,70.1337,0.2141
10,7,934.02,859.71,60.02,645,79.3798,0.2141
11,7,948.3,859.71,58.84,916,65.393,0.2182
12,7,948.35,829.72,58.84,1467,83.3674,0.2109
13,6,943.69,829.72,57.71,1418,71.7913,0.2119
14,6,955.54,849.72,57.71,1127,83.3185,0.2165
15,7,932.69,839.72,60.02,954,73.8994,0.2144
16,5,924.36,839.72,60.63,874,84.7826,0.2164
17,5,937.35,859.71,57.71,1372,90.7434,0.2134
18,5,959.68,869.71,57.71,1161,95.6072,0.2084
19,5,967.61,869.71,57.16,1299,83.3718,0.2138
20,5,956.23,779.74,57.16,2152,61.7565,0.2164
21,4,967.95,779.74,56.62,1988,47.2334,0.2138
22,5,986.22,879.71,56.62,1238,88.9338,0.2098
23,6,948.35,879.71,58.84,1368,92.1784,0.24600000000000002
24,6,949.34,869.71,57.16,1649,84.7787,0.2179
25,6,983.6,869.71,57.16,1299,79.1378,0.2179
26,6,957.01,839.72,57.71,1551,61.8311,0.209
27,6,804.3,599.8,59.43,2808,40.99,0.2131
28,5,764.75,599.8,66.69,2193,24.2134,0.2179
29,7,866.98,719.76,60.63,1401,53.3191,0.2097
30,6,909.7,779.74,56.09,1117,68.3975,0.2482
31,5,955.68,789.74,56.09,1783,56.59,0.2093
32,6,947.35,869.71,58.84,856,84.1121,0.2463
33,9,931.02,859.71,58.84,1097,87.1468,0.2506
34,7,940.35,859.71,56.09,1752,64.4977,0.2481
35,6,990.38,869.71,55.57,1605,88.97200000000001,0.2164
36,7,885.33,349.88,43.81,11476,90.5978,0.2118
37,7,837.46,349.88,43.81,12399,93.0962,0.1926
38,7,899.7,759.75,55.57,5125,47.6488,0.1647
39,11,848.72,419.86,55.57,11296,82.0113,0.2357
40,13,770.43,319.89,44.79,74403,61.5257,0.2686
41,7,935.35,789.74,58.84,1793,49.9163,0.1782
42,8,973.47,829.72,56.62,1232,90.0162,0.1771
43,8,934.69,759.75,57.16,1958,43.5138,0.214
44,11,797.23,359.88,61.88,7367,22.0171,0.1344
45,13,649.46,309.9,43.18,27635,38.2088,0.149
46,11,783.98,309.9,43.18,26570,82.0399,0.11599999999999999
47,7,900.02,769.74,59.43,2364,32.9949,0.1434
48,9,890.95,729.76,59.43,1674,46.1171,0.2105
49,8,887.2,809.73,62.52,748,82.6203,0.2113
50,6,895.83,809.73,62.52,813,78.3518,0.1801
51,7,907.76,829.72,61.88,532,72.3684,0.1777
52,7,916.79,799.73,58.27,1047,63.6103,0.1759
53,6,874.08,729.76,58.27,2609,38.5205,0.2145
54,7,860.32,729.76,61.88,1446,64.592,0.2113
55,5,925.18,819.73,59.43,1330,80.8271,0.1743
56,7,943.69,889.7,59.43,1012,88.7352,0.1766
57,7,940.02,839.72,59.43,1038,78.9981,0.2128
58,6,946.93,839.72,58.27,1026,87.1345,0.2185
59,5,937.35,789.74,57.71,1161,75.6245,0.2134
60,5,890.95,789.74,57.71,1445,34.2561,0.2455
61,7,905.18,829.72,61.24,747,78.581,0.2138
62,7,935.69,869.71,60.63,735,88.0272,0.2138
63,5,921.36,849.72,60.63,789,87.9594,0.2171
64,7,929.02,849.72,59.43,1062,83.3333,0.2153
65,6,941.69,869.71,59.43,869,92.6352,0.177
66,5,936.02,869.71,60.63,649,82.7427,0.2137
67,6,945.35,869.71,57.16,896,76.6741,0.2116
68,5,953.13,849.72,57.16,1011,84.0752,0.2171
69,6,966.57,849.72,57.71,1148,78.4843,0.2141
70,6,941.41,809.73,57.71,1075,63.5349,0.2198
71,4,953.13,809.73,56.62,1364,84.0909,0.2171
72,6,943.02,799.73,56.62,1369,70.7816,0.2474
73,6,939.69,799.73,57.71,1456,64.6291,0.2128
74,5,966.57,879.71,57.71,1122,95.2763,0.2141
75,7,941.35,829.72,55.57,1855,73.6388,0.2479
76,8,972.09,829.72,54.07,3026,66.5896,0.2128
77,6,1010.73,929.69,54.07,1892,77.4841,0.1767
78,6,991.81,919.69,55.57,926,94.9244,0.2161
79,7,971.82,889.7,57.16,1540,74.0909,0.2205
