,A,B,C,G,R,X6,X8
0,26,614.05,589.8,93.78,86,59.3023,0.3119
1,23,609.8,569.81,93.78,145,28.9655,0.2094
2,24,616.32,569.81,90.94,189,23.8095,0.3527
3,24,621.28,379.87,90.94,71,53.5211,0.3425
4,23,631.12,599.8,90.94,58,37.931,0.3521
5,26,623.27,589.8,90.94,111,28.8288,0.1395
6,23,599.38,549.82,92.34,127,14.9606,0.1738
7,24,605.12,549.82,83.36,439,37.8132,0.1406
8,26,610.65,569.81,83.36,480,31.6667,0.1394
9,24,605.97,569.81,90.94,191,25.1309,0.2809
10,21,615.42,359.88,90.94,250,38.0,0.2708
11,21,628.27,599.8,90.94,106,68.8679,0.1384
12,21,624.79,589.8,89.58,167,77.2455,0.174
13,22,626.53,589.8,86.99,369,70.4607,0.1735
14,23,631.31,589.8,86.99,279,70.6093,0.1377
15,19,627.4,599.8,90.94,104,37.5,0.3465
16,18,632.9,599.8,89.58,68,50.0,0.2809
17,18,661.14,619.79,80.03,316,29.1139,0.2063
18,19,660.46,599.8,80.03,350,24.2857,0.2065
19,18,639.79,599.8,89.58,100,46.0,0.3473
20,17,635.12,609.8,89.58,72,59.7222,0.14
21,25,631.31,599.8,89.58,154,39.6104,0.1722
22,23,626.75,599.8,89.58,146,47.2603,0.1387
23,17,638.01,609.8,84.54,221,28.0543,0.2786
24,19,645.47,609.8,84.54,115,33.913000000000004,0.1408
25,22,643.12,609.8,86.99,94,25.5319,0.311
26,23,628.51,359.88,86.99,79,73.4177,0.1354
27,28,614.05,579.81,90.94,123,32.5203,0.1386
28,26,609.37,569.81,89.58,270,13.3333,0.1746
29,25,628.05,569.81,88.26,260,36.5385,0.2769
30,26,627.62,589.8,88.26,138,38.4058,0.1732
31,28,601.67,579.81,95.27,62,40.3226,0.27699999999999997
32,27,610.43,579.81,90.94,43,67.4419,0.1394
33,26,631.35,589.8,89.58,26,88.4615,0.35200000000000004
34,27,621.28,369.88,89.58,124,31.4516,0.2397
35,27,612.77,589.8,92.34,89,53.9326,0.1736
36,24,625.79,589.8,86.99,144,10.4167,0.142
37,23,625.88,599.8,86.99,128,17.9688,0.2779
38,26,631.12,589.8,55.06,3244,72.1023,0.1408
39,26,648.42,589.8,55.06,3140,70.0,0.1402
40,23,636.01,589.8,89.58,133,46.6165,0.1747
41,22,640.01,589.8,86.99,208,30.7692,0.1389
42,26,648.89,619.79,86.99,98,21.4286,0.3425
43,23,652.28,619.79,85.74,100,31.0,0.3484
44,21,675.73,639.79,84.54,61,37.7049,0.1762
45,24,692.86,669.78,75.97,182,73.0769,0.1375
46,21,678.11,599.8,82.22,263,46.3878,0.1404
47,21,655.01,599.8,83.36,99,53.5354,0.3123
48,27,645.56,609.8,85.74,56,33.9286,0.1377
49,25,621.53,569.81,90.94,102,21.5686,0.1749
50,26,612.56,569.81,88.26,295,29.4915,0.1389
51,27,618.73,579.81,88.26,201,41.2935,0.1376
52,26,630.23,599.8,90.94,92,28.2609,0.141
53,26,633.57,589.8,90.94,65,32.3077,0.1403
54,23,636.31,589.8,89.58,174,32.7586,0.1367
55,23,639.56,609.8,89.58,112,50.0,0.278
56,26,628.73,359.88,89.58,93,51.6129,0.1354
57,27,630.44,599.8,90.94,56,46.4286,0.2414
58,27,620.23,599.8,93.78,54,88.8889,0.2103
59,28,609.16,589.8,93.78,62,62.9032,0.1397
60,28,606.05,579.81,93.78,71,53.5211,0.2406
61,23,601.05,569.81,90.94,104,72.1154,0.1733
62,21,616.39,569.81,83.36,520,30.1923,0.1726
63,24,664.1,369.88,81.11,744,29.9731,0.1711
64,24,678.35,639.79,81.11,219,13.6986,0.2106
65,26,667.92,639.79,76.95,272,65.0735,0.1741
66,26,668.85,609.8,76.95,461,79.8265,0.1391
67,26,655.24,609.8,78.97,346,39.8844,0.1387
68,28,638.05,369.88,90.94,116,73.2759,0.3066
69,27,625.88,589.8,90.94,121,48.7603,0.2779
70,26,617.67,369.88,89.58,111,77.4775,0.3445
71,25,638.48,359.88,89.58,105,66.6667,0.3064
72,20,660.24,639.79,86.99,53,47.1698,0.1761
73,16,651.6,579.81,86.99,189,34.9206,0.1395
74,20,626.96,569.81,88.26,48,41.6667,0.1387
75,24,633.34,569.81,89.58,189,57.672,0.1754
76,25,648.19,579.81,77.95,419,37.2315,0.2805
77,25,657.96,579.81,74.1,646,45.0464,0.3454
78,27,654.1,619.79,74.1,92,51.086999999999996,0.3475
79,28,649.1,629.79,88.26,61,68.8525,0.1401
80,27,653.42,629.79,88.26,75,54.6667,0.2087
81,26,650.92,629.79,88.26,46,71.7391,0.1397
82,25,657.74,629.79,82.22,162,25.3086,0.2073
