,A,B,C,G,R,X6,X8
0,25,651.83,589.8,84.54,151,48.3444,0.1395
1,27,635.79,589.8,90.94,60,43.3333,0.3495
2,27,643.92,369.88,86.99,141,29.7872,0.135
3,26,648.19,609.8,86.99,212,54.2453,0.1753
4,23,622.35,579.81,88.26,200,62.5,0.2393
5,22,639.34,569.81,78.97,255,51.7647,0.139
6,24,702.27,589.8,61.24,663,50.3771,0.2848
7,21,718.22,649.78,61.24,2181,30.6282,0.1428
8,18,690.23,359.88,74.1,951,21.9769,0.1348
9,23,678.38,619.79,80.03,446,42.1525,0.1371
10,23,687.21,359.88,58.84,2696,46.5134,0.1354
11,25,676.05,359.88,58.84,2657,45.4272,0.1376
12,24,649.56,569.81,84.54,538,27.5093,0.14
13,21,618.49,549.82,84.54,616,6.4935,0.3163
14,18,611.29,549.82,90.94,462,14.0693,0.2785
15,17,621.97,589.8,90.94,161,13.0435,0.1398
16,24,609.58,559.81,92.34,50,38.0,0.2792
17,29,590.62,559.81,96.81,107,15.8879,0.1382
18,25,592.46,549.82,85.74,635,9.2913,0.1378
19,20,580.21,539.82,85.74,609,14.7783,0.1724
20,16,567.07,539.82,95.27,199,34.1709,0.1383
21,18,581.85,539.82,89.58,405,17.7778,0.1403
22,19,582.21,549.82,89.58,384,14.0625,0.1718
23,20,603.55,549.82,51.74,5454,64.1731,0.1381
24,26,607.71,549.82,90.94,268,57.4627,0.1371
25,27,615.66,579.81,92.34,59,47.4576,0.1766
26,24,622.13,369.88,92.34,79,73.4177,0.171
27,24,621.31,589.8,89.58,198,32.3232,0.3149
28,24,632.56,389.87,83.36,559,25.2236,0.3027
29,20,674.19,619.79,82.22,282,25.8865,0.3449
30,17,682.87,649.78,82.22,183,24.0437,0.1395
31,16,684.53,649.78,78.97,215,65.1163,0.3478
32,18,683.11,639.79,78.97,143,77.6224,0.1394
33,22,662.51,509.83,85.74,261,71.6475,0.2401
34,23,661.6,509.83,84.54,364,60.1648,0.2405
35,25,671.17,619.79,77.95,550,45.6364,0.1386
36,25,660.48,599.8,77.95,560,29.4643,0.1408
37,27,642.45,599.8,85.74,112,36.6071,0.2421
38,27,641.34,619.79,89.58,45,57.7778,0.1733
39,24,636.68,579.81,90.94,144,65.9722,0.1396
40,25,630.22,569.81,77.95,578,68.5121,0.138
41,25,638.05,369.88,77.95,708,54.661,0.2044
42,27,646.38,589.8,86.99,170,32.3529,0.2461
43,26,634.01,589.8,86.99,145,44.1379,0.2103
44,26,647.34,609.8,85.74,144,41.6667,0.20600000000000002
