,A,B,C,G,R,X6,X8
0,13,514.65,499.83,113.25,18,33.3333,0.1388
1,11,522.5,499.83,60.02,3272,64.2726,0.1367
2,13,529.28,349.88,59.43,6298,68.2915,0.2748
3,12,518.58,349.88,59.43,3199,72.4289,0.3444
4,13,508.25,479.84,115.42,8,37.5,0.2071
5,12,514.83,499.83,111.15,21,14.2857,0.1387
6,11,528.73,499.83,111.15,41,24.3902,0.1376
7,13,530.19,519.83,111.15,5,20.0,0.1397
8,10,528.91,509.83,111.15,4,50.0,0.1719
9,13,524.11,509.83,111.15,11,72.7273,0.2044
10,12,520.19,509.83,111.15,13,38.4615,0.3146
11,15,520.92,509.83,113.25,7,57.1429,0.349
12,13,516.43,499.83,113.25,12,41.6667,0.242
13,12,515.9,499.83,113.25,18,27.7778,0.2423
14,13,526.92,499.83,61.24,3005,71.2812,0.138
15,12,530.01,509.83,61.24,3058,69.7515,0.1372
16,16,549.06,519.83,72.31,1203,49.5428,0.1718
17,22,608.95,519.83,72.31,1560,37.5641,0.2096
18,27,637.12,579.81,89.58,78,73.0769,0.1395
19,22,608.96,569.81,89.58,87,36.7816,0.2053
20,21,599.18,569.81,92.34,137,57.6642,0.1391
21,27,614.48,589.8,92.34,175,41.1429,0.1731
22,27,620.01,589.8,93.78,31,61.2903,0.1753
23,26,624.14,599.8,85.74,118,69.4915,0.1742
24,27,623.62,579.81,85.74,173,51.4451,0.2047
25,27,622.35,579.81,92.34,79,32.9114,0.1709
26,27,630.01,589.8,89.58,77,33.7662,0.1725
27,28,633.7,619.79,89.58,56,55.3571,0.1715
28,27,616.18,569.81,89.58,114,25.4386,0.1727
29,28,602.92,569.81,93.78,83,32.5301,0.311
30,28,618.92,569.81,92.34,89,55.0562,0.1405
31,26,632.83,599.8,90.94,61,68.8525,0.1374
32,27,624.79,569.81,90.94,87,82.7586,0.1392
33,21,597.51,569.81,92.34,117,69.2308,0.1743
34,16,581.61,549.82,96.81,113,48.6726,0.2063
35,15,568.44,529.82,98.39,171,31.5789,0.3105
36,13,570.21,529.82,95.27,210,29.5238,0.1403
37,15,579.41,549.82,95.27,194,21.134,0.3107
38,14,586.2,539.82,55.06,3854,64.0893,0.1365
39,18,609.38,539.82,50.02,10507,61.5304,0.3419
40,20,608.1,539.82,50.02,7323,61.7916,0.14
41,24,610.22,569.81,95.27,72,40.2778,0.1395
42,23,610.01,549.82,92.34,157,21.6561,0.2093
43,24,618.27,549.82,85.74,473,11.8393,0.1406
44,23,634.46,609.8,85.74,120,9.1667,0.3503
45,25,638.01,619.79,90.94,22,36.3636,0.1393
46,21,636.68,599.8,88.26,123,12.1951,0.1745
47,14,626.75,599.8,88.26,115,15.6522,0.2081
48,14,624.36,609.8,92.34,28,67.8571,0.1741
49,16,638.05,619.79,89.58,38,81.5789,0.1363
50,17,649.1,619.79,85.74,116,31.8966,0.3151
51,15,634.68,599.8,85.74,72,43.0556,0.2801
52,18,633.79,599.8,89.58,53,50.9434,0.1403
53,19,644.79,629.79,89.58,35,48.5714,0.282
54,16,642.51,619.79,88.26,69,21.7391,0.3537
55,15,639.34,619.79,86.99,94,72.3404,0.139
56,12,624.68,599.8,86.99,116,51.7241,0.1779
57,11,625.44,599.8,89.58,61,42.623000000000005,0.1738
58,10,641.38,609.8,89.58,62,64.5161,0.1417
59,12,644.79,619.79,89.58,42,52.381,0.141
60,13,641.56,619.79,89.58,36,50.0,0.3464
61,14,633.92,609.8,89.58,68,44.1176,0.1372
62,13,619.58,589.8,89.58,76,26.3158,0.1404
63,11,629.79,409.86,58.27,6615,81.0128,0.247
64,11,772.45,409.86,57.16,6979,81.4013,0.1749
65,9,940.02,779.74,55.57,6371,70.0989,0.2128
66,9,931.02,779.74,56.09,5731,87.87299999999999,0.2148
67,11,886.16,719.76,54.56,5416,71.7319,0.2184
68,10,874.4,719.76,54.56,7531,81.3039,0.2144
69,10,918.36,759.75,57.16,6634,87.9409,0.2178
70,11,908.41,749.75,56.09,5882,78.6977,0.2131
71,11,866.38,729.76,56.09,5749,63.6459,0.2099
72,10,873.46,729.76,58.27,4214,76.934,0.2147
73,11,923.69,789.74,54.07,4509,82.169,0.2165
74,10,887.52,699.77,58.27,4005,90.5618,0.2465
75,10,871.27,699.77,57.71,4017,82.1011,0.2152
76,9,874.08,709.76,57.71,4253,86.0569,0.2145
77,10,863.05,709.76,60.63,4927,85.5896,0.2107
78,10,903.89,729.76,57.16,5986,92.1316,0.1784
79,10,913.24,679.77,57.16,4099,91.2418,0.1766
80,13,860.62,679.77,57.71,5945,73.0025,0.2465
81,11,855.78,729.76,57.71,4874,77.2466,0.2125
